Title,Task ID,Executor,Parent Task,Status,Due Date,Followers,Creator,Progress
1 [统一预约中台] 工作台总览,1,,,,,,,
1.1 [统一预约中台] 经营看板首页,1.1,,工作台总览,,,,,,
1.2 [统一预约中台] 快捷入口模块,1.2,,工作台总览,,,,,,
1.3 [统一预约中台] 今日调度概览,1.3,,工作台总览,,,,,,
1.4 [统一预约中台] 待办事项中心,1.4,,工作台总览,,,,,,
1.5 [统一预约中台] 顶部导航能力,1.5,,工作台总览,,,,,,
2 [统一预约中台] 调度日历与资源排班,2,,,,,,,
2.1 [统一预约中台] 日视图调度日历,2.1,,调度日历与资源排班,,,,,,
2.2 [统一预约中台] 周视图调度日历,2.2,,调度日历与资源排班,,,,,,
2.3 [统一预约中台] 月视图调度日历,2.3,,调度日历与资源排班,,,,,,
2.4 [统一预约中台] 多维筛选能力,2.4,,调度日历与资源排班,,,,,,
2.5 [统一预约中台] 预约详情悬浮卡,2.5,,调度日历与资源排班,,,,,,
2.6 [统一预约中台] 拖拽改期能力,2.6,,调度日历与资源排班,,,,,,
2.7 [统一预约中台] 改期确认弹窗,2.7,,调度日历与资源排班,,,,,,
3 [统一预约中台] 散客建单与预约处理,3,,,,,,,
3.1 [统一预约中台] 订单与预约处理台,3.1,,散客建单与预约处理,,,,,,
3.2 [统一预约中台] 客户信息录入,3.2,,散客建单与预约处理,,,,,,
3.3 [统一预约中台] 服务选择与购物车,3.3,,散客建单与预约处理,,,,,,
3.4 [统一预约中台] 三池联动校验,3.4,,散客建单与预约处理,,,,,,
3.5 [统一预约中台] 费用确认,3.5,,散客建单与预约处理,,,,,,
3.6 [统一预约中台] 预约确认,3.6,,散客建单与预约处理,,,,,,
3.7 [统一预约中台] 草稿能力,3.7,,散客建单与预约处理,,,,,,
3.8 [统一预约中台] 取消建单能力,3.8,,散客建单与预约处理,,,,,,
4 [统一预约中台] 预占、支付与统一收银,4,,,,,,,
4.1 [统一预约中台] 预占确认弹窗,4.1,,预占、支付与统一收银,,,,,,
4.2 [统一预约中台] 统一收银台,4.2,,预占、支付与统一收银,,,,,,
4.3 [统一预约中台] 支付方式管理,4.3,,预占、支付与统一收银,,,,,,
4.4 [统一预约中台] 定金支付抽屉,4.4,,预占、支付与统一收银,,,,,,
4.5 [统一预约中台] 超时释放机制,4.5,,预占、支付与统一收银,,,,,,
4.6 [统一预约中台] 支付成功流转,4.6,,预占、支付与统一收银,,,,,,
4.7 [统一预约中台] 对公转账支撑,4.7,,预占、支付与统一收银,,,,,,
5 [统一预约中台] 全渠道订单中心,5,,,,,,,
5.1 [统一预约中台] 统一订单列表,5.1,,全渠道订单中心,,,,,,
5.2 [统一预约中台] 列表检索与筛选,5.2,,全渠道订单中心,,,,,,
5.3 [统一预约中台] 高级筛选抽屉,5.3,,全渠道订单中心,,,,,,
5.4 [统一预约中台] 订单详情抽屉,5.4,,全渠道订单中心,,,,,,
5.5 [统一预约中台] 单订单操作,5.5,,全渠道订单中心,,,,,,
5.6 [统一预约中台] 列表自动化,5.6,,全渠道订单中心,,,,,,
5.7 [统一预约中台] 导出能力,5.7,,全渠道订单中心,,,,,,
6 [统一预约中台] 核销、签到与批量处理,6,,,,,,,
6.1 [统一预约中台] 单笔核销,6.1,,核销、签到与批量处理,,,,,,
6.2 [统一预约中台] 批量签到,6.2,,核销、签到与批量处理,,,,,,
6.3 [统一预约中台] 批量核销,6.3,,核销、签到与批量处理,,,,,,
6.4 [统一预约中台] 批量预览抽屉,6.4,,核销、签到与批量处理,,,,,,
6.5 [统一预约中台] 批量执行结果,6.5,,核销、签到与批量处理,,,,,,
6.6 [统一预约中台] 团队订单完整性校验,6.6,,核销、签到与批量处理,,,,,,
6.7 [统一预约中台] 失败转异常,6.7,,核销、签到与批量处理,,,,,,
7 [统一预约中台] 团队预订与名单导入,7,,,,,,,
7.1 [统一预约中台] 团队建单主页,7.1,,团队预订与名单导入,,,,,,
7.2 [统一预约中台] 合同与日期校验,7.2,,团队预订与名单导入,,,,,,
7.3 [统一预约中台] 批量名单导入,7.3,,团队预订与名单导入,,,,,,
7.4 [统一预约中台] 名单错误明细页,7.4,,团队预订与名单导入,,,,,,
7.5 [统一预约中台] 手动补录与导入确认,7.5,,团队预订与名单导入,,,,,,
7.6 [统一预约中台] 团队资源矩阵锁位,7.6,,团队预订与名单导入,,,,,,
7.7 [统一预约中台] 团单生成确认,7.7,,团队预订与名单导入,,,,,,
7.8 [统一预约中台] 尾款催收,7.8,,团队预订与名单导入,,,,,,
8 [统一预约中台] 冲突预警与异常处理,8,,,,,,,
8.1 [统一预约中台] 冲突预警页面,8.1,,冲突预警与异常处理,,,,,,
8.2 [统一预约中台] 异常处理中心,8.2,,冲突预警与异常处理,,,,,,
8.3 [统一预约中台] 冲突详情弹窗,8.3,,冲突预警与异常处理,,,,,,
8.4 [统一预约中台] 智能推荐结果,8.4,,冲突预警与异常处理,,,,,,
8.5 [统一预约中台] 替换确认弹窗,8.5,,冲突预警与异常处理,,,,,,
8.6 [统一预约中台] 忽略异常弹窗,8.6,,冲突预警与异常处理,,,,,,
8.7 [统一预约中台] 异常状态联动,8.7,,冲突预警与异常处理,,,,,,
8.8 [统一预约中台] 高优先级通知,8.8,,冲突预警与异常处理,,,,,,
9 [统一预约中台] 退改、退款与售后,9,,,,,,,
9.1 [统一预约中台] 退改弹窗,9.1,,退改、退款与售后,,,,,,
9.2 [统一预约中台] 退款确认Dialog,9.2,,退改、退款与售后,,,,,,
9.3 [统一预约中台] 退款审批提交,9.3,,退改、退款与售后,,,,,,
9.4 [统一预约中台] 退款驳回回流,9.4,,退改、退款与售后,,,,,,
9.5 [统一预约中台] 独立部分取消,9.5,,退改、退款与售后,,,,,,
9.6 [统一预约中台] 拆分异常售后单,9.6,,退改、退款与售后,,,,,,
9.7 [统一预约中台] 退改规则校验,9.7,,退改、退款与售后,,,,,,
9.8 [统一预约中台] 财务流程联动,9.8,,退改、退款与售后,,,,,,
10 [统一预约中台] 通用支撑能力,10,,,,,,,
10.1 [统一预约中台] 权限控制,10.1,,通用支撑能力,,,,,,
10.2 [统一预约中台] 消息通知中心,10.2,,通用支撑能力,,,,,,
10.3 [统一预约中台] 操作日志与审计,10.3,,通用支撑能力,,,,,,
10.4 [统一预约中台] 状态机管理,10.4,,通用支撑能力,,,,,,
10.5 [统一预约中台] 帮助中心,10.5,,通用支撑能力,,,,,,
10.6 [统一预约中台] 数据脱敏与合规,10.6,,通用支撑能力,,,,,,
10.7 [统一预约中台] 定时任务与自动化,10.7,,通用支撑能力,,,,,,
10.8 [统一预约中台] 对外系统集成,10.8,,通用支撑能力,,,,,,
